pickup_hour_timestamp,origin_loc_id,zone_name,horizon_h,predicted_demand,predicted_demand_rounded
2026-04-01 00:00:00,237,Upper East Side South,1,40.27996166786586,40
2026-04-01 00:00:00,132,JFK Airport,1,242.8550144518185,243
2026-04-01 00:00:00,161,Midtown Center,1,63.305139900039734,63
2026-04-01 00:00:00,236,Upper East Side North,1,22.467698852311447,22
2026-04-01 00:00:00,186,Penn Station/Madison Sq West,1,53.91295793634177,54
2026-04-01 00:00:00,162,Midtown East,1,48.68119913920409,49
2026-04-01 00:00:00,230,Times Sq/Theatre District,1,95.34228503721246,95
2026-04-01 00:00:00,142,Lincoln Square East,1,40.53313545511296,41
2026-04-01 00:00:00,138,LaGuardia Airport,1,129.20312598714722,129
2026-04-01 00:00:00,170,Murray Hill,1,46.38423459358428,46
2026-04-01 01:00:00,237,Upper East Side South,2,18.480838633191752,18
2026-04-01 01:00:00,132,JFK Airport,2,111.64007487177987,112
2026-04-01 01:00:00,161,Midtown Center,2,24.134330895623933,24
2026-04-01 01:00:00,236,Upper East Side North,2,9.226727814230344,9
2026-04-01 01:00:00,186,Penn Station/Madison Sq West,2,38.13163909013606,38
2026-04-01 01:00:00,162,Midtown East,2,23.474535711778504,23
2026-04-01 01:00:00,230,Times Sq/Theatre District,2,41.54872583600741,42
2026-04-01 01:00:00,142,Lincoln Square East,2,21.76041671237713,22
2026-04-01 01:00:00,138,LaGuardia Airport,2,79.31915393655046,79
2026-04-01 01:00:00,170,Murray Hill,2,25.75788115727105,26
2026-04-01 02:00:00,237,Upper East Side South,3,9.41579338332897,9
2026-04-01 02:00:00,132,JFK Airport,3,29.138994871713475,29
2026-04-01 02:00:00,161,Midtown Center,3,10.613738293410869,11
2026-04-01 02:00:00,236,Upper East Side North,3,5.079674284957672,5
2026-04-01 02:00:00,186,Penn Station/Madison Sq West,3,19.608165585005874,20
2026-04-01 02:00:00,162,Midtown East,3,12.87427304342341,13
2026-04-01 02:00:00,230,Times Sq/Theatre District,3,24.187565526480988,24
2026-04-01 02:00:00,142,Lincoln Square East,3,11.997947981821994,12
2026-04-01 02:00:00,138,LaGuardia Airport,3,34.89509692602708,35
2026-04-01 02:00:00,170,Murray Hill,3,13.225527967377094,13
2026-04-01 03:00:00,237,Upper East Side South,4,4.326448625536114,4
2026-04-01 03:00:00,132,JFK Airport,4,10.892622040171362,11
2026-04-01 03:00:00,161,Midtown Center,4,7.432806441313187,7
2026-04-01 03:00:00,236,Upper East Side North,4,2.8244489741733108,3
2026-04-01 03:00:00,186,Penn Station/Madison Sq West,4,12.632550916970468,13
2026-04-01 03:00:00,162,Midtown East,4,6.821739341141529,7
2026-04-01 03:00:00,230,Times Sq/Theatre District,4,19.272585742908767,19
2026-04-01 03:00:00,142,Lincoln Square East,4,5.981035484894096,6
2026-04-01 03:00:00,138,LaGuardia Airport,4,14.659691946294153,15
2026-04-01 03:00:00,170,Murray Hill,4,4.993759720532831,5
2026-04-01 04:00:00,237,Upper East Side South,5,7.580749013246258,8
2026-04-01 04:00:00,132,JFK Airport,5,11.004411835939935,11
2026-04-01 04:00:00,161,Midtown Center,5,10.513242580375548,11
2026-04-01 04:00:00,236,Upper East Side North,5,9.346894773960775,9
